City_ID,City,Country,Lat,Lng,Maximum Hemperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather description
83,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,19.46,few clouds
84,Vincennes,FR,48.85,2.43,60.01,72,75,1.12,broken clouds
85,Parys,FR,48.85,2.35,60.01,76,75,3.36,broken clouds
86,Lebu,CL,-37.62,-73.65,50.11,95,100,9.98,overcast clouds
87,Aripuana,BR,-9.17,-60.63,68.27,52,40,1.77,scattered clouds
88,Avarua,CK,-21.21,-159.78,68.0,72,20,5.82,few clouds
89,Bilibino,RU,68.05,166.44,55.45,48,94,2.35,overcast clouds
90,Gbarnga,LR,7.0,-9.47,66.0,98,100,1.16,overcast clouds
91,Busselton,AU,-33.65,115.33,59.0,64,20,9.69,light rain
92,Broome,US,42.25,-75.83,71.01,64,1,12.75,clear sky
93,East London,ZA,-33.02,27.91,69.8,18,0,10.29,clear sky
94,Bathsheba,BB,13.22,-59.52,82.4,78,40,11.41,scattered clouds
95,Katangli,RU,51.71,143.23,55.83,82,98,11.21,overcast clouds
96,Sao Filipe,CV,14.9,-24.5,77.88,85,14,10.6,few clouds
97,Juazeiro,BR,-9.41,-40.5,66.45,79,24,17.87,few clouds
98,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.18,80,55,0.67,broken clouds
99,Geraldton,AU,-28.77,114.6,60.8,72,75,10.29,broken clouds
100,Noshiro,JP,40.2,140.02,82.4,74,75,3.36,broken clouds
101,Vestmanna,FO,62.16,-7.17,48.2,100,100,9.17,light rain
102,Umm Kaddadah,SD,13.6,26.69,76.57,67,49,18.05,scattered clouds
103,Sur,OM,22.57,59.53,92.73,50,19,12.28,few clouds
104,Sola,VU,-13.88,167.55,75.18,86,63,19.89,broken clouds
105,Vaini,TO,-21.2,-175.2,75.2,88,20,9.17,few clouds
106,Domoni,KM,-12.26,44.53,74.73,74,49,14.27,scattered clouds
107,Severo-Kurilsk,RU,50.68,156.12,58.05,88,98,11.43,overcast clouds
108,Tezu,IN,27.92,96.17,96.15,49,1,4.05,clear sky
109,Zhuhai,CN,22.28,113.57,82.0,94,40,2.24,light intensity shower rain
110,Boende,CD,-0.22,20.87,73.15,93,98,4.72,overcast clouds
111,Paita,PE,-5.09,-81.11,61.27,89,10,7.94,clear sky
112,Imphal,IN,24.82,93.95,90.82,57,13,2.82,light rain
113,Strezhevoy,RU,60.73,77.59,84.2,51,0,11.18,clear sky
114,Starosubkhangulovo,RU,53.1,57.44,77.52,55,100,1.79,overcast clouds
115,Saint George,US,37.1,-113.58,89.6,9,1,3.36,clear sky
116,Banyuwangi,ID,-8.23,114.36,84.24,55,66,4.54,broken clouds
117,Gravdal,NO,68.12,13.5,66.2,59,0,8.05,clear sky
118,Tuatapere,NZ,-46.13,167.68,48.85,81,95,1.95,overcast clouds
119,Codrington,AU,-38.27,141.97,49.6,65,81,14.36,broken clouds
120,San Quintin,MX,30.48,-115.95,68.76,84,32,3.62,scattered clouds
121,Guerrero Negro,MX,27.98,-114.06,71.94,72,42,11.95,scattered clouds
122,Ribeira Grande,PT,38.52,-28.7,71.82,84,0,11.79,clear sky
123,Boundiali,CI,9.52,-6.49,68.13,98,100,4.12,overcast clouds
124,Savonlinna,FI,61.87,28.88,62.6,82,40,3.36,scattered clouds
125,Tuktoyaktuk,CA,69.45,-133.04,48.2,100,90,3.36,light intensity drizzle
126,Victoria,HK,22.29,114.16,79.0,96,100,5.99,moderate rain
127,Port Hardy,CA,50.7,-127.42,57.2,93,75,3.36,fog
128,Bredasdorp,ZA,-34.53,20.04,46.4,100,0,5.82,clear sky
129,Kavaratti,IN,10.57,72.64,82.67,79,97,24.36,overcast clouds
130,Lokosovo,RU,61.13,74.82,86.65,49,0,10.11,clear sky
